date,value
2005/1/1,308
2005/1/2,628
2005/1/3,590
2005/1/4,464
2005/1/5,486
2005/1/6,655
2005/1/7,628
2005/1/8,445
2005/1/9,518
2005/1/10,542
2005/1/11,658
2005/1/12,673
2005/1/13,657
2005/1/14,715
2005/1/15,461
2005/1/16,412
2005/1/17,625
2005/1/18,681
2005/1/19,657
2005/1/20,564
2005/1/21,595
2005/1/22,533
2005/1/23,490
2005/1/24,576
2005/1/25,592
2005/1/26,587
2005/1/27,607
2005/1/28,650
2005/1/29,528
2005/1/30,398
2005/1/31,569
2005/2/1,306
2005/2/2,554
2005/2/3,557
2005/2/4,492
2005/2/5,482
2005/2/6,482
2005/2/7,466
2005/2/8,540
2005/2/9,654
2005/2/10,423
2005/2/11,719
2005/2/12,739
2005/2/13,386
2005/2/14,437
2005/2/15,621
2005/2/16,447
2005/2/17,529
2005/2/18,638
2005/2/19,449
2005/2/20,366
2005/2/21,520
2005/2/22,521
2005/2/23,541
2005/2/24,511
2005/2/25,598
2005/2/26,500
2005/2/27,369
2005/2/28,540
2005/3/1,293
2005/3/2,546
2005/3/3,487
2005/3/4,380
2005/3/5,570
2005/3/6,576
2005/3/7,442
2005/3/8,534
2005/3/9,494
2005/3/10,453
2005/3/11,674
2005/3/12,541
2005/3/13,351
2005/3/14,471
2005/3/15,504
2005/3/16,560
2005/3/17,570
2005/3/18,585
2005/3/19,494
2005/3/20,377
2005/3/21,440
2005/3/22,534
2005/3/23,529
2005/3/24,584
2005/3/25,445
2005/3/26,434
2005/3/27,334
2005/3/28,391
2005/3/29,452
2005/3/30,478
2005/3/31,404
2005/4/1,473
2005/4/2,547
2005/4/3,609
2005/4/4,447
2005/4/5,505
2005/4/6,462
2005/4/7,628
2005/4/8,492
2005/4/9,449
2005/4/10,549
2005/4/11,741
2005/4/12,412
2005/4/13,564
2005/4/14,570
2005/4/15,624
2005/4/16,490
2005/4/17,424
2005/4/18,597
2005/4/19,532
2005/4/20,513
2005/4/21,541
2005/4/22,607
2005/4/23,496
2005/4/24,442
2005/4/25,520
2005/4/26,577
2005/4/27,665
2005/4/28,505
2005/4/29,716
2005/4/30,575
2005/5/1,523
2005/5/2,448
2005/5/3,488
2005/5/4,493
2005/5/5,530
2005/5/6,401
2005/5/7,693
2005/5/8,660
2005/5/9,450
2005/5/10,531
2005/5/11,612
2005/5/12,607
2005/5/13,625
2005/5/14,585
2005/5/15,508
2005/5/16,589
2005/5/17,512
2005/5/18,520
2005/5/19,608
2005/5/20,688
2005/5/21,613
2005/5/22,438
2005/5/23,611
2005/5/24,581
2005/5/25,559
2005/5/26,586
2005/5/27,671
2005/5/28,518
2005/5/29,416
2005/5/30,439
2005/5/31,519
2005/6/1,553
2005/6/2,360
2005/6/3,404
2005/6/4,539
2005/6/5,651
2005/6/6,489
2005/6/7,540
2005/6/8,454
2005/6/9,502
2005/6/10,543
2005/6/11,427
2005/6/12,682
2005/6/13,532
2005/6/14,527
2005/6/15,679
2005/6/16,529
2005/6/17,621
2005/6/18,576
2005/6/19,483
2005/6/20,562
2005/6/21,589
2005/6/22,663
2005/6/23,650
2005/6/24,735
2005/6/25,483
2005/6/26,458
2005/6/27,630
2005/6/28,580
2005/6/29,555
2005/6/30,605
2005/7/1,510
2005/7/2,561
2005/7/3,433
2005/7/4,544
2005/7/5,551
2005/7/6,616
2005/7/7,527
2005/7/8,458
2005/7/9,575
2005/7/10,548
2005/7/11,658
2005/7/12,775
2005/7/13,557
2005/7/14,591
2005/7/15,620
2005/7/16,582
2005/7/17,488
2005/7/18,535
2005/7/19,535
2005/7/20,544
2005/7/21,474
2005/7/22,574
2005/7/23,427
2005/7/24,531
2005/7/25,503
2005/7/26,471
2005/7/27,597
2005/7/28,657
2005/7/29,584
2005/7/30,527
2005/7/31,438
2005/8/1,439
2005/8/2,584
2005/8/3,466
2005/8/4,525
2005/8/5,440
2005/8/6,615
2005/8/7,570
2005/8/8,543
2005/8/9,618
2005/8/10,634
2005/8/11,659
2005/8/12,637
2005/8/13,639
2005/8/14,406
2005/8/15,432
2005/8/16,496
2005/8/17,601
2005/8/18,525
2005/8/19,642
2005/8/20,472
2005/8/21,452
2005/8/22,642
2005/8/23,537
2005/8/24,631
2005/8/25,618
2005/8/26,564
2005/8/27,447
2005/8/28,423
2005/8/29,477
2005/8/30,576
2005/8/31,557
2005/9/1,357
2005/9/2,561
2005/9/3,492
2005/9/4,461
2005/9/5,517
2005/9/6,521
2005/9/7,506
2005/9/8,522
2005/9/9,602
2005/9/10,439
2005/9/11,680
2005/9/12,748
2005/9/13,548
2005/9/14,511
2005/9/15,743
2005/9/16,692
2005/9/17,553
2005/9/18,348
2005/9/19,496
2005/9/20,554
2005/9/21,520
2005/9/22,540
2005/9/23,702
2005/9/24,537
2005/9/25,479
2005/9/26,513
2005/9/27,590
2005/9/28,656
2005/9/29,612
2005/9/30,749
2005/10/1,523
2005/10/2,561
2005/10/3,492
2005/10/4,406
2005/10/5,532
2005/10/6,648
2005/10/7,484
2005/10/8,507
2005/10/9,599
2005/10/10,555
2005/10/11,646
2005/10/12,571
2005/10/13,600
2005/10/14,526
